"AGE","GEO","UNIT","TIME","SEX","Value","Flag and Footnotes"
"Total","Krapinsko-zagorska zupanija","Number","2011","Males","64,649",""
"Total","Krapinsko-zagorska zupanija","Number","2011","Females","68,243",""
"Total","Varazdinska zupanija","Number","2011","Total","175,951",""
"Total","Varazdinska zupanija","Number","2011","Males","85,645",""
"Total","Varazdinska zupanija","Number","2011","Females","90,306",""
"Total","Koprivnicko-krizevacka zupanija","Number","2011","Total","115,584",""
"Total","Koprivnicko-krizevacka zupanija","Number","2011","Males","55,964",""
"Total","Koprivnicko-krizevacka zupanija","Number","2011","Females","59,620",""
"Total","Medimurska zupanija","Number","2011","Total","113,804",""
"Total","Medimurska zupanija","Number","2011","Males","55,601",""
"Total","Medimurska zupanija","Number","2011","Females","58,203",""
"Total","Bjelovarsko-bilogorska zupanija","Number","2011","Total","119,764",""
"Total","Bjelovarsko-bilogorska zupanija","Number","2011","Males","58,133",""
"Total","Bjelovarsko-bilogorska zupanija","Number","2011","Females","61,631",""
"Total","Viroviticko-podravska zupanija","Number","2011","Total","84,836",""
"Total","Viroviticko-podravska zupanija","Number","2011","Males","41,017",""
"Total","Viroviticko-podravska zupanija","Number","2011","Females","43,819",""
"Total","Pozesko-slavonska zupanija","Number","2011","Total","78,034",""
"Total","Pozesko-slavonska zupanija","Number","2011","Males","37,847",""
"Total","Pozesko-slavonska zupanija","Number","2011","Females","40,187",""
"Total","Brodsko-posavska zupanija","Number","2011","Total","158,575",""
"Total","Brodsko-posavska zupanija","Number","2011","Males","77,115",""
"Total","Brodsko-posavska zupanija","Number","2011","Females","81,460",""
"Total","Osjecko-baranjska zupanija","Number","2011","Total","305,032",""
"Total","Osjecko-baranjska zupanija","Number","2011","Males","146,891",""
"Total","Osjecko-baranjska zupanija","Number","2011","Females","158,141",""
"Total","Vukovarsko-srijemska zupanija","Number","2011","Total","179,521",""
"Total","Vukovarsko-srijemska zupanija","Number","2011","Males","86,682",""
"Total","Vukovarsko-srijemska zupanija","Number","2011","Females","92,839",""
"Total","Karlovacka zupanija","Number","2011","Total","128,899",""
"Total","Karlovacka zupanija","Number","2011","Males","62,384",""
"Total","Karlovacka zupanija","Number","2011","Females","66,515",""
"Total","Sisacko-moslavacka zupanija","Number","2011","Total","172,439",""
"Total","Sisacko-moslavacka zupanija","Number","2011","Males","83,608",""
"Total","Sisacko-moslavacka zupanija","Number","2011","Females","88,831",""
"Less than 1 year","Croatia","Number","2011","Total","42,377",""
"Less than 1 year","Croatia","Number","2011","Males","21,857",""
"Less than 1 year","Croatia","Number","2011","Females","20,520",""
"Less than 1 year","Hrvatska","Number","2011","Total","42,377",""
"Less than 1 year","Hrvatska","Number","2011","Males","21,857",""
"Less than 1 year","Hrvatska","Number","2011","Females","20,520",""
"Less than 1 year","Jadranska Hrvatska","Number","2011","Total","13,737",""
"Less than 1 year","Jadranska Hrvatska","Number","2011","Males","7,070",""
"Less than 1 year","Jadranska Hrvatska","Number","2011","Females","6,667",""
"Less than 1 year","Primorsko-goranska zupanija","Number","2011","Total","2,549",""
"Less than 1 year","Primorsko-goranska zupanija","Number","2011","Males","1,308",""
"Less than 1 year","Primorsko-goranska zupanija","Number","2011","Females","1,241",""
"Less than 1 year","Licko-senjska zupanija","Number","2011","Total","392",""
"Less than 1 year","Licko-senjska zupanija","Number","2011","Males","195",""
"Less than 1 year","Licko-senjska zupanija","Number","2011","Females","197",""
"Less than 1 year","Zadarska zupanija","Number","2011","Total","1,722",""
"Less than 1 year","Zadarska zupanija","Number","2011","Males","906",""
"Less than 1 year","Zadarska zupanija","Number","2011","Females","816",""
"Less than 1 year","Sibensko-kninska zupanija","Number","2011","Total","960",""
"Less than 1 year","Sibensko-kninska zupanija","Number","2011","Males","490",""
"Less than 1 year","Sibensko-kninska zupanija","Number","2011","Females","470",""
"Less than 1 year","Splitsko-dalmatinska zupanija","Number","2011","Total","4,826",""
"Less than 1 year","Splitsko-dalmatinska zupanija","Number","2011","Males","2,479",""
"Less than 1 year","Splitsko-dalmatinska zupanija","Number","2011","Females","2,347",""
"Less than 1 year","Istarska zupanija","Number","2011","Total","1,917",""
"Less than 1 year","Istarska zupanija","Number","2011","Males","986",""
"Less than 1 year","Istarska zupanija","Number","2011","Females","931",""
"Less than 1 year","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,371",""
"Less than 1 year","Dubrovacko-neretvanska zupanija","Number","2011","Males","706",""
"Less than 1 year","Dubrovacko-neretvanska zupanija","Number","2011","Females","665",""
"Less than 1 year","Kontinentalna Hrvatska","Number","2011","Total","28,640",""
"Less than 1 year","Kontinentalna Hrvatska","Number","2011","Males","14,787",""
"Less than 1 year","Kontinentalna Hrvatska","Number","2011","Females","13,853",""
"Less than 1 year","Grad Zagreb","Number","2011","Total","8,659",""
"Less than 1 year","Grad Zagreb","Number","2011","Males","4,510",""
"Less than 1 year","Grad Zagreb","Number","2011","Females","4,149",""
"Less than 1 year","Zagrebacka zupanija","Number","2011","Total","3,392",""
"Less than 1 year","Zagrebacka zupanija","Number","2011","Males","1,754",""
"Less than 1 year","Zagrebacka zupanija","Number","2011","Females","1,638",""
"Less than 1 year","Krapinsko-zagorska zupanija","Number","2011","Total","1,294",""
"Less than 1 year","Krapinsko-zagorska zupanija","Number","2011","Males","646",""
"Less than 1 year","Krapinsko-zagorska zupanija","Number","2011","Females","648",""
"Less than 1 year","Varazdinska zupanija","Number","2011","Total","1,686",""
"Less than 1 year","Varazdinska zupanija","Number","2011","Males","836",""
"Less than 1 year","Varazdinska zupanija","Number","2011","Females","850",""
"Less than 1 year","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,134",""
"Less than 1 year","Koprivnicko-krizevacka zupanija","Number","2011","Males","597",""
"Less than 1 year","Koprivnicko-krizevacka zupanija","Number","2011","Females","537",""
"Less than 1 year","Medimurska zupanija","Number","2011","Total","1,247",""
"Less than 1 year","Medimurska zupanija","Number","2011","Males","657",""
"Less than 1 year","Medimurska zupanija","Number","2011","Females","590",""
"Less than 1 year","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,189",""
"Less than 1 year","Bjelovarsko-bilogorska zupanija","Number","2011","Males","628",""
"Less than 1 year","Bjelovarsko-bilogorska zupanija","Number","2011","Females","561",""
"Less than 1 year","Viroviticko-podravska zupanija","Number","2011","Total","808",""
"Less than 1 year","Viroviticko-podravska zupanija","Number","2011","Males","426",""
"Less than 1 year","Viroviticko-podravska zupanija","Number","2011","Females","382",""
"Less than 1 year","Pozesko-slavonska zupanija","Number","2011","Total","690",""
"Less than 1 year","Pozesko-slavonska zupanija","Number","2011","Males","366",""
"Less than 1 year","Pozesko-slavonska zupanija","Number","2011","Females","324",""
"Less than 1 year","Brodsko-posavska zupanija","Number","2011","Total","1,474",""
"Less than 1 year","Brodsko-posavska zupanija","Number","2011","Males","777",""
"Less than 1 year","Brodsko-posavska zupanija","Number","2011","Females","697",""
"Less than 1 year","Osjecko-baranjska zupanija","Number","2011","Total","2,722",""
"Less than 1 year","Osjecko-baranjska zupanija","Number","2011","Males","1,373",""
"Less than 1 year","Osjecko-baranjska zupanija","Number","2011","Females","1,349",""
"Less than 1 year","Vukovarsko-srijemska zupanija","Number","2011","Total","1,768",""
"Less than 1 year","Vukovarsko-srijemska zupanija","Number","2011","Males","917",""
"Less than 1 year","Vukovarsko-srijemska zupanija","Number","2011","Females","851",""
"Less than 1 year","Karlovacka zupanija","Number","2011","Total","1,117",""
"Less than 1 year","Karlovacka zupanija","Number","2011","Males","567",""
"Less than 1 year","Karlovacka zupanija","Number","2011","Females","550",""
"Less than 1 year","Sisacko-moslavacka zupanija","Number","2011","Total","1,460",""
"Less than 1 year","Sisacko-moslavacka zupanija","Number","2011","Males","733",""
"Less than 1 year","Sisacko-moslavacka zupanija","Number","2011","Females","727",""
"1 year","Croatia","Number","2011","Total","44,347",""
"1 year","Croatia","Number","2011","Males","22,695",""
"1 year","Croatia","Number","2011","Females","21,652",""
"1 year","Hrvatska","Number","2011","Total","44,347",""
"1 year","Hrvatska","Number","2011","Males","22,695",""
"1 year","Hrvatska","Number","2011","Females","21,652",""
"1 year","Jadranska Hrvatska","Number","2011","Total","14,144",""
"1 year","Jadranska Hrvatska","Number","2011","Males","7,244",""
"1 year","Jadranska Hrvatska","Number","2011","Females","6,900",""
"1 year","Primorsko-goranska zupanija","Number","2011","Total","2,662",""
"1 year","Primorsko-goranska zupanija","Number","2011","Males","1,364",""
"1 year","Primorsko-goranska zupanija","Number","2011","Females","1,298",""
"1 year","Licko-senjska zupanija","Number","2011","Total","426",""
"1 year","Licko-senjska zupanija","Number","2011","Males","229",""
"1 year","Licko-senjska zupanija","Number","2011","Females","197",""
"1 year","Zadarska zupanija","Number","2011","Total","1,782",""
"1 year","Zadarska zupanija","Number","2011","Males","892",""
"1 year","Zadarska zupanija","Number","2011","Females","890",""
"1 year","Sibensko-kninska zupanija","Number","2011","Total","982",""
"1 year","Sibensko-kninska zupanija","Number","2011","Males","503",""
"1 year","Sibensko-kninska zupanija","Number","2011","Females","479",""
"1 year","Splitsko-dalmatinska zupanija","Number","2011","Total","4,874",""
"1 year","Splitsko-dalmatinska zupanija","Number","2011","Males","2,534",""
"1 year","Splitsko-dalmatinska zupanija","Number","2011","Females","2,340",""
"1 year","Istarska zupanija","Number","2011","Total","2,056",""
"1 year","Istarska zupanija","Number","2011","Males","1,058",""
"1 year","Istarska zupanija","Number","2011","Females","998",""
"1 year","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,362",""
"1 year","Dubrovacko-neretvanska zupanija","Number","2011","Males","664",""
"1 year","Dubrovacko-neretvanska zupanija","Number","2011","Females","698",""
"1 year","Kontinentalna Hrvatska","Number","2011","Total","30,203",""
"1 year","Kontinentalna Hrvatska","Number","2011","Males","15,451",""
"1 year","Kontinentalna Hrvatska","Number","2011","Females","14,752",""
"1 year","Grad Zagreb","Number","2011","Total","8,848",""
"1 year","Grad Zagreb","Number","2011","Males","4,508",""
"1 year","Grad Zagreb","Number","2011","Females","4,340",""
"1 year","Zagrebacka zupanija","Number","2011","Total","3,496",""
"1 year","Zagrebacka zupanija","Number","2011","Males","1,760",""
"1 year","Zagrebacka zupanija","Number","2011","Females","1,736",""
"1 year","Krapinsko-zagorska zupanija","Number","2011","Total","1,258",""
"1 year","Krapinsko-zagorska zupanija","Number","2011","Males","669",""
"1 year","Krapinsko-zagorska zupanija","Number","2011","Females","589",""
"1 year","Varazdinska zupanija","Number","2011","Total","1,816",""
"1 year","Varazdinska zupanija","Number","2011","Males","936",""
"1 year","Varazdinska zupanija","Number","2011","Females","880",""
"1 year","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,155",""
"1 year","Koprivnicko-krizevacka zupanija","Number","2011","Males","623",""
"1 year","Koprivnicko-krizevacka zupanija","Number","2011","Females","532",""
"1 year","Medimurska zupanija","Number","2011","Total","1,333",""
"1 year","Medimurska zupanija","Number","2011","Males","660",""
"1 year","Medimurska zupanija","Number","2011","Females","673",""
"1 year","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,203",""
"1 year","Bjelovarsko-bilogorska zupanija","Number","2011","Males","640",""
"1 year","Bjelovarsko-bilogorska zupanija","Number","2011","Females","563",""
"1 year","Viroviticko-podravska zupanija","Number","2011","Total","858",""
"1 year","Viroviticko-podravska zupanija","Number","2011","Males","460",""
"1 year","Viroviticko-podravska zupanija","Number","2011","Females","398",""
"1 year","Pozesko-slavonska zupanija","Number","2011","Total","830",""
"1 year","Pozesko-slavonska zupanija","Number","2011","Males","420",""
"1 year","Pozesko-slavonska zupanija","Number","2011","Females","410",""
"1 year","Brodsko-posavska zupanija","Number","2011","Total","1,735",""
"1 year","Brodsko-posavska zupanija","Number","2011","Males","910",""
"1 year","Brodsko-posavska zupanija","Number","2011","Females","825",""
"1 year","Osjecko-baranjska zupanija","Number","2011","Total","3,090",""
"1 year","Osjecko-baranjska zupanija","Number","2011","Males","1,531",""
"1 year","Osjecko-baranjska zupanija","Number","2011","Females","1,559",""
"1 year","Vukovarsko-srijemska zupanija","Number","2011","Total","1,875",""
"1 year","Vukovarsko-srijemska zupanija","Number","2011","Males","935",""
"1 year","Vukovarsko-srijemska zupanija","Number","2011","Females","940",""
"1 year","Karlovacka zupanija","Number","2011","Total","1,083",""
"1 year","Karlovacka zupanija","Number","2011","Males","560",""
"1 year","Karlovacka zupanija","Number","2011","Females","523",""
"1 year","Sisacko-moslavacka zupanija","Number","2011","Total","1,623",""
"1 year","Sisacko-moslavacka zupanija","Number","2011","Males","839",""
"1 year","Sisacko-moslavacka zupanija","Number","2011","Females","784",""
"2 years","Croatia","Number","2011","Total","43,041",""
"2 years","Croatia","Number","2011","Males","22,017",""
"2 years","Croatia","Number","2011","Females","21,024",""
"2 years","Hrvatska","Number","2011","Total","43,041",""
"2 years","Hrvatska","Number","2011","Males","22,017",""
"2 years","Hrvatska","Number","2011","Females","21,024",""
"2 years","Jadranska Hrvatska","Number","2011","Total","13,955",""
"2 years","Jadranska Hrvatska","Number","2011","Males","7,131",""
"2 years","Jadranska Hrvatska","Number","2011","Females","6,824",""
"2 years","Primorsko-goranska zupanija","Number","2011","Total","2,565",""
"2 years","Primorsko-goranska zupanija","Number","2011","Males","1,282",""
"2 years","Primorsko-goranska zupanija","Number","2011","Females","1,283",""
"2 years","Licko-senjska zupanija","Number","2011","Total","403",""
"2 years","Licko-senjska zupanija","Number","2011","Males","201",""
"2 years","Licko-senjska zupanija","Number","2011","Females","202",""
"2 years","Zadarska zupanija","Number","2011","Total","1,812",""
"2 years","Zadarska zupanija","Number","2011","Males","927",""
"2 years","Zadarska zupanija","Number","2011","Females","885",""
"2 years","Sibensko-kninska zupanija","Number","2011","Total","978",""
"2 years","Sibensko-kninska zupanija","Number","2011","Males","480",""
"2 years","Sibensko-kninska zupanija","Number","2011","Females","498",""
"2 years","Splitsko-dalmatinska zupanija","Number","2011","Total","4,816",""
"2 years","Splitsko-dalmatinska zupanija","Number","2011","Males","2,435",""
"2 years","Splitsko-dalmatinska zupanija","Number","2011","Females","2,381",""
"2 years","Istarska zupanija","Number","2011","Total","2,011",""
"2 years","Istarska zupanija","Number","2011","Males","1,081",""
"2 years","Istarska zupanija","Number","2011","Females","930",""
"2 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,370",""
"2 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","725",""
"2 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","645",""
"2 years","Kontinentalna Hrvatska","Number","2011","Total","29,086",""
"2 years","Kontinentalna Hrvatska","Number","2011","Males","14,886",""
"2 years","Kontinentalna Hrvatska","Number","2011","Females","14,200",""
"2 years","Grad Zagreb","Number","2011","Total","8,283",""
"2 years","Grad Zagreb","Number","2011","Males","4,130",""
"2 years","Grad Zagreb","Number","2011","Females","4,153",""
"2 years","Zagrebacka zupanija","Number","2011","Total","3,403",""
"2 years","Zagrebacka zupanija","Number","2011","Males","1,764",""
"2 years","Zagrebacka zupanija","Number","2011","Females","1,639",""
"2 years","Krapinsko-zagorska zupanija","Number","2011","Total","1,265",""
"2 years","Krapinsko-zagorska zupanija","Number","2011","Males","652",""
"2 years","Krapinsko-zagorska zupanija","Number","2011","Females","613",""
"2 years","Varazdinska zupanija","Number","2011","Total","1,674",""
"2 years","Varazdinska zupanija","Number","2011","Males","880",""
"2 years","Varazdinska zupanija","Number","2011","Females","794",""
"2 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,193",""
"2 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","635",""
"2 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","558",""
"2 years","Medimurska zupanija","Number","2011","Total","1,284",""
"2 years","Medimurska zupanija","Number","2011","Males","672",""
"2 years","Medimurska zupanija","Number","2011","Females","612",""
"2 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,173",""
"2 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","597",""
"2 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","576",""
"2 years","Viroviticko-podravska zupanija","Number","2011","Total","859",""
"2 years","Viroviticko-podravska zupanija","Number","2011","Males","435",""
"2 years","Viroviticko-podravska zupanija","Number","2011","Females","424",""
"2 years","Pozesko-slavonska zupanija","Number","2011","Total","806",""
"2 years","Pozesko-slavonska zupanija","Number","2011","Males","437",""
"2 years","Pozesko-slavonska zupanija","Number","2011","Females","369",""
"2 years","Brodsko-posavska zupanija","Number","2011","Total","1,659",""
"2 years","Brodsko-posavska zupanija","Number","2011","Males","868",""
"2 years","Brodsko-posavska zupanija","Number","2011","Females","791",""
"2 years","Osjecko-baranjska zupanija","Number","2011","Total","2,930",""
"2 years","Osjecko-baranjska zupanija","Number","2011","Males","1,485",""
"2 years","Osjecko-baranjska zupanija","Number","2011","Females","1,445",""
"2 years","Vukovarsko-srijemska zupanija","Number","2011","Total","1,860",""
"2 years","Vukovarsko-srijemska zupanija","Number","2011","Males","961",""
"2 years","Vukovarsko-srijemska zupanija","Number","2011","Females","899",""
"2 years","Karlovacka zupanija","Number","2011","Total","1,125",""
"2 years","Karlovacka zupanija","Number","2011","Males","564",""
"2 years","Karlovacka zupanija","Number","2011","Females","561",""
"2 years","Sisacko-moslavacka zupanija","Number","2011","Total","1,572",""
"2 years","Sisacko-moslavacka zupanija","Number","2011","Males","806",""
"2 years","Sisacko-moslavacka zupanija","Number","2011","Females","766",""
"3 years","Croatia","Number","2011","Total","42,194",""
"3 years","Croatia","Number","2011","Males","21,600",""
"3 years","Croatia","Number","2011","Females","20,594",""
"3 years","Hrvatska","Number","2011","Total","42,194",""
"3 years","Hrvatska","Number","2011","Males","21,600",""
"3 years","Hrvatska","Number","2011","Females","20,594",""
"3 years","Jadranska Hrvatska","Number","2011","Total","13,548",""
"3 years","Jadranska Hrvatska","Number","2011","Males","6,889",""
"3 years","Jadranska Hrvatska","Number","2011","Females","6,659",""
"3 years","Primorsko-goranska zupanija","Number","2011","Total","2,464",""
"3 years","Primorsko-goranska zupanija","Number","2011","Males","1,270",""
"3 years","Primorsko-goranska zupanija","Number","2011","Females","1,194",""
"3 years","Licko-senjska zupanija","Number","2011","Total","407",""
"3 years","Licko-senjska zupanija","Number","2011","Males","214",""
"3 years","Licko-senjska zupanija","Number","2011","Females","193",""
"3 years","Zadarska zupanija","Number","2011","Total","1,736",""
"3 years","Zadarska zupanija","Number","2011","Males","882",""
"3 years","Zadarska zupanija","Number","2011","Females","854",""
"3 years","Sibensko-kninska zupanija","Number","2011","Total","900",""
"3 years","Sibensko-kninska zupanija","Number","2011","Males","472",""
"3 years","Sibensko-kninska zupanija","Number","2011","Females","428",""
"3 years","Splitsko-dalmatinska zupanija","Number","2011","Total","4,738",""
"3 years","Splitsko-dalmatinska zupanija","Number","2011","Males","2,367",""
"3 years","Splitsko-dalmatinska zupanija","Number","2011","Females","2,371",""
"3 years","Istarska zupanija","Number","2011","Total","1,999",""
"3 years","Istarska zupanija","Number","2011","Males","1,018",""
"3 years","Istarska zupanija","Number","2011","Females","981",""
"3 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,304",""
"3 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","666",""
"3 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","638",""
"3 years","Kontinentalna Hrvatska","Number","2011","Total","28,646",""
"3 years","Kontinentalna Hrvatska","Number","2011","Males","14,711",""
"3 years","Kontinentalna Hrvatska","Number","2011","Females","13,935",""
"3 years","Grad Zagreb","Number","2011","Total","7,914",""
"3 years","Grad Zagreb","Number","2011","Males","4,101",""
"3 years","Grad Zagreb","Number","2011","Females","3,813",""
"3 years","Zagrebacka zupanija","Number","2011","Total","3,421",""
"3 years","Zagrebacka zupanija","Number","2011","Males","1,747",""
"3 years","Zagrebacka zupanija","Number","2011","Females","1,674",""
"3 years","Krapinsko-zagorska zupanija","Number","2011","Total","1,226",""
"3 years","Krapinsko-zagorska zupanija","Number","2011","Males","619",""
"3 years","Krapinsko-zagorska zupanija","Number","2011","Females","607",""
"3 years","Varazdinska zupanija","Number","2011","Total","1,703",""
"3 years","Varazdinska zupanija","Number","2011","Males","849",""
"3 years","Varazdinska zupanija","Number","2011","Females","854",""
"3 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,172",""
"3 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","643",""
"3 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","529",""
"3 years","Medimurska zupanija","Number","2011","Total","1,217",""
"3 years","Medimurska zupanija","Number","2011","Males","631",""
"3 years","Medimurska zupanija","Number","2011","Females","586",""
"3 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,147",""
"3 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","607",""
"3 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","540",""
"3 years","Viroviticko-podravska zupanija","Number","2011","Total","811",""
"3 years","Viroviticko-podravska zupanija","Number","2011","Males","415",""
"3 years","Viroviticko-podravska zupanija","Number","2011","Females","396",""
"3 years","Pozesko-slavonska zupanija","Number","2011","Total","849",""
"3 years","Pozesko-slavonska zupanija","Number","2011","Males","431",""
"3 years","Pozesko-slavonska zupanija","Number","2011","Females","418",""
"3 years","Brodsko-posavska zupanija","Number","2011","Total","1,662",""
"3 years","Brodsko-posavska zupanija","Number","2011","Males","849",""
"3 years","Brodsko-posavska zupanija","Number","2011","Females","813",""
"3 years","Osjecko-baranjska zupanija","Number","2011","Total","2,877",""
"3 years","Osjecko-baranjska zupanija","Number","2011","Males","1,474",""
"3 years","Osjecko-baranjska zupanija","Number","2011","Females","1,403",""
"3 years","Vukovarsko-srijemska zupanija","Number","2011","Total","1,944",""
"3 years","Vukovarsko-srijemska zupanija","Number","2011","Males","992",""
"3 years","Vukovarsko-srijemska zupanija","Number","2011","Females","952",""
"3 years","Karlovacka zupanija","Number","2011","Total","1,177",""
"3 years","Karlovacka zupanija","Number","2011","Males","600",""
"3 years","Karlovacka zupanija","Number","2011","Females","577",""
"3 years","Sisacko-moslavacka zupanija","Number","2011","Total","1,526",""
"3 years","Sisacko-moslavacka zupanija","Number","2011","Males","753",""
"3 years","Sisacko-moslavacka zupanija","Number","2011","Females","773",""
"4 years","Croatia","Number","2011","Total","40,750",""
"4 years","Croatia","Number","2011","Males","21,082",""
"4 years","Croatia","Number","2011","Females","19,668",""
"4 years","Hrvatska","Number","2011","Total","40,750",""
"4 years","Hrvatska","Number","2011","Males","21,082",""
"4 years","Hrvatska","Number","2011","Females","19,668",""
"4 years","Jadranska Hrvatska","Number","2011","Total","13,158",""
"4 years","Jadranska Hrvatska","Number","2011","Males","6,803",""
"4 years","Jadranska Hrvatska","Number","2011","Females","6,355",""
"4 years","Primorsko-goranska zupanija","Number","2011","Total","2,278",""
"4 years","Primorsko-goranska zupanija","Number","2011","Males","1,170",""
"4 years","Primorsko-goranska zupanija","Number","2011","Females","1,108",""
"4 years","Licko-senjska zupanija","Number","2011","Total","388",""
"4 years","Licko-senjska zupanija","Number","2011","Males","206",""
"4 years","Licko-senjska zupanija","Number","2011","Females","182",""
"4 years","Zadarska zupanija","Number","2011","Total","1,684",""
"4 years","Zadarska zupanija","Number","2011","Males","867",""
"4 years","Zadarska zupanija","Number","2011","Females","817",""
"4 years","Sibensko-kninska zupanija","Number","2011","Total","888",""
"4 years","Sibensko-kninska zupanija","Number","2011","Males","477",""
"4 years","Sibensko-kninska zupanija","Number","2011","Females","411",""
"4 years","Splitsko-dalmatinska zupanija","Number","2011","Total","4,784",""
"4 years","Splitsko-dalmatinska zupanija","Number","2011","Males","2,467",""
"4 years","Splitsko-dalmatinska zupanija","Number","2011","Females","2,317",""
"4 years","Istarska zupanija","Number","2011","Total","1,883",""
"4 years","Istarska zupanija","Number","2011","Males","958",""
"4 years","Istarska zupanija","Number","2011","Females","925",""
"4 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,253",""
"4 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","658",""
"4 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","595",""
"4 years","Kontinentalna Hrvatska","Number","2011","Total","27,592",""
"4 years","Kontinentalna Hrvatska","Number","2011","Males","14,279",""
"4 years","Kontinentalna Hrvatska","Number","2011","Females","13,313",""
"4 years","Grad Zagreb","Number","2011","Total","7,389",""
"4 years","Grad Zagreb","Number","2011","Males","3,777",""
"4 years","Grad Zagreb","Number","2011","Females","3,612",""
"4 years","Zagrebacka zupanija","Number","2011","Total","3,327",""
"4 years","Zagrebacka zupanija","Number","2011","Males","1,700",""
"4 years","Zagrebacka zupanija","Number","2011","Females","1,627",""
"4 years","Krapinsko-zagorska zupanija","Number","2011","Total","1,188",""
"4 years","Krapinsko-zagorska zupanija","Number","2011","Males","622",""
"4 years","Krapinsko-zagorska zupanija","Number","2011","Females","566",""
"4 years","Varazdinska zupanija","Number","2011","Total","1,718",""
"4 years","Varazdinska zupanija","Number","2011","Males","925",""
"4 years","Varazdinska zupanija","Number","2011","Females","793",""
"4 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,113",""
"4 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","598",""
